# Time (s),Altitude (ft)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0.01,-7.621e-4
0.02,9.016e-4
0.03,0.007
0.04,0.016
0.05,0.039
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.072
0.07,0.125
0.08,0.197
0.09,0.289
0.1,0.41
0.11,0.551
0.12,0.719
0.13,0.912
0.14,1.129
0.15,1.368
0.16,1.634
0.17,1.926
0.18,2.241
0.19,2.582
0.2,2.949
0.21,3.34
0.22,3.757
0.23,4.196
0.24,4.665
0.25,5.157
0.26,5.676
0.27,6.22
0.28,6.788
0.29,7.385
0.3,8.005
0.31,8.655
0.32,9.327
0.33,10.026
0.34,10.751
0.35,11.503
0.36,12.277
0.37,13.081
0.38,13.911
0.39,14.764
0.4,15.646
0.41,16.555
# Event LAUNCHROD occurred at t=0.42 seconds
0.42,17.487
0.435,18.937
0.458,21.224
0.491,24.902
0.541,30.906
0.591,37.572
0.641,44.905
0.691,52.907
0.741,61.581
0.791,70.925
0.841,80.942
0.891,91.631
0.941,102.999
0.991,115.043
1.041,127.762
1.091,141.161
1.141,155.24
1.191,169.997
1.241,185.436
1.291,201.558
1.341,218.356
1.391,235.837
1.441,253.996
1.491,272.835
1.541,292.346
1.591,312.533
1.641,333.396
1.691,354.931
1.741,377.139
1.791,400.02
1.841,423.573
1.891,447.795
1.941,472.694
1.991,498.264
2.041,524.508
2.091,551.424
2.141,579.012
2.191,607.27
2.241,636.198
2.291,665.791
2.341,696.047
2.391,726.962
2.441,758.527
2.491,790.741
2.541,823.596
2.591,857.087
2.641,891.201
2.691,925.938
2.741,961.286
2.791,997.241
2.841,1033.799
2.891,1070.955
2.941,1108.704
2.991,1147.041
3.041,1185.961
3.091,1225.463
3.141,1265.538
3.191,1306.184
3.241,1347.392
3.291,1389.157
3.341,1431.444
3.391,1474.213
3.441,1517.411
3.491,1560.971
3.541,1604.81
3.591,1648.825
3.641,1692.936
3.691,1737.087
3.741,1781.224
3.791,1825.312
3.841,1869.314
3.891,1913.215
3.941,1956.998
3.991,2000.65
4.041,2044.163
4.091,2087.536
4.141,2130.761
4.191,2173.835
4.241,2216.759
# Event BURNOUT occurred at t=4.264 seconds
# Event EJECTION_CHARGE occurred at t=4.264 seconds
4.264,2236.24
4.298,2265.404
4.348,2308.002
4.398,2350.449
4.448,2392.746
4.498,2434.892
4.548,2476.886
4.598,2518.73
4.648,2560.423
4.698,2601.969
4.748,2643.363
4.798,2684.616
4.848,2725.719
4.898,2766.68
4.948,2807.493
4.998,2848.159
5.048,2888.684
5.098,2929.065
5.148,2969.298
5.198,3009.39
5.248,3049.341
5.298,3089.147
5.348,3128.816
5.398,3168.34
5.448,3207.73
5.498,3246.978
5.548,3286.086
5.598,3325.056
5.648,3363.888
5.698,3402.582
5.748,3441.138
5.798,3479.557
5.848,3517.841
5.898,3555.988
5.948,3593.999
5.998,3631.88
6.048,3669.626
6.098,3707.238
6.148,3744.718
6.198,3782.067
6.248,3819.281
6.298,3856.362
6.348,3893.314
6.398,3930.131
6.448,3966.818
6.498,4003.376
6.548,4039.803
6.598,4076.099
6.648,4112.27
6.698,4148.31
6.748,4184.226
6.798,4220.013
6.848,4255.673
6.898,4291.207
6.948,4326.614
6.998,4361.896
7.048,4397.054
7.098,4432.083
7.148,4466.991
7.198,4501.772
7.248,4536.43
7.298,4570.968
7.348,4605.377
7.398,4639.665
7.448,4673.832
7.498,4707.871
7.548,4741.791
7.598,4775.591
7.648,4809.265
7.698,4842.822
7.748,4876.26
7.798,4909.577
7.848,4942.772
7.898,4975.853
7.948,5008.812
7.998,5041.654
8.048,5074.373
8.098,5106.978
8.148,5139.462
8.198,5171.831
8.248,5204.081
8.298,5236.214
8.348,5268.232
8.398,5300.135
8.448,5331.919
8.498,5363.589
8.548,5395.144
8.598,5426.581
8.648,5457.907
8.698,5489.117
8.748,5520.213
8.798,5551.194
8.848,5582.064
8.898,5612.818
8.948,5643.461
8.998,5673.99
9.048,5704.409
9.098,5734.715
9.148,5764.908
9.198,5794.99
9.248,5824.964
9.298,5854.826
9.348,5884.573
9.398,5914.213
9.448,5943.743
9.498,5973.159
9.548,6002.467
9.598,6031.663
9.648,6060.755
9.698,6089.734
9.748,6118.606
9.798,6147.365
9.848,6176.02
9.898,6204.567
9.948,6233.009
9.998,6261.339
10.048,6289.564
10.098,6317.684
10.148,6345.696
10.198,6373.599
10.248,6401.398
10.298,6429.091
10.348,6456.677
10.398,6484.154
10.448,6511.526
10.498,6538.793
10.548,6565.951
10.598,6593.005
10.648,6619.957
10.698,6646.801
10.748,6673.543
10.798,6700.184
10.848,6726.719
10.898,6753.15
10.948,6779.482
10.998,6805.712
11.048,6831.837
11.098,6857.861
11.148,6883.783
11.198,6909.603
11.248,6935.318
11.298,6960.932
11.348,6986.444
11.398,7011.854
11.448,7037.159
11.498,7062.362
11.548,7087.464
11.598,7112.464
11.648,7137.359
11.698,7162.156
11.748,7186.854
11.798,7211.45
11.848,7235.945
11.898,7260.341
11.948,7284.639
11.998,7308.839
12.048,7332.94
12.098,7356.942
12.148,7380.846
12.198,7404.652
12.248,7428.363
