# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (m/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-7.524e-4,-0.046,-0.468,0.046,0.468,0,0,0,0,0,0,34,-107,0.999,90.374,0,0,0,31.054,8.058,14.854,0.073,NaN,1.692,NaN,0.02,9.794e5,161.698,-1.164e-7,0.512,-3.56e-7,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.655e-7,0.131,0.013,90,0,7.031,33.904,867.369,351.845,0.01,0.046
0.02,9.563e-4,0.058,0.595,0.058,0.595,0,0,0,0,0,0,34,-107,0.999,89.522,0,0,0,31.047,8.051,14.851,0.073,NaN,1.692,NaN,0.02,9.742e5,485.095,2.403e-7,0.513,7.43e-7,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.188e-7,0.131,0.013,90,0,6.993,33.904,867.369,351.845,0.01,0.058
0.03,0.006,0.221,1.657,0.221,1.657,0,0,0,0,0,0,34,-107,0.999,88.182,0,0,0,31.041,8.045,14.848,0.073,NaN,1.692,NaN,0.02,9.694e5,808.492,1.295e-5,0.513,4.045e-5,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.722e-6,0.131,0.013,90,0,6.955,33.904,867.369,351.845,0.01,0.067
0.04,0.017,0.488,2.721,0.488,2.721,0,0,0,0,0,0,34,-107,0.999,85.969,0,0,0,31.034,8.038,14.845,0.073,NaN,1.692,NaN,0.02,9.661e5,1131.889,1.37e-4,0.513,4.309e-4,0.391,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.011e-6,0.131,0.013,90,0,6.918,33.904,867.369,351.845,0.01,0.072
0.05,0.039,0.859,3.784,0.859,3.784,0,0,0,0,0,0,34,-107,0.999,82.887,0,0,0,31.028,8.032,14.842,0.073,NaN,1.692,NaN,0.02,9.659e5,1455.286,7.276e-4,0.513,0.002,0.391,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.059e-5,0.131,0.013,90,0,6.88,33.904,867.368,351.845,0.01,0.077
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.075,1.334,4.848,1.334,4.848,0,0,0,0,0,0,34,-107,0.999,79.021,0,0,0,31.021,8.025,14.839,0.073,NaN,1.692,NaN,0.02,9.757e5,1778.683,0.003,0.512,0.008,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.645e-5,0.131,0.013,90,0,6.876,33.904,867.368,351.845,0.01,0.082
0.07,0.128,1.914,5.913,1.914,5.913,0,0,0,0,0,0,34,-107,0.999,74.438,0,0,0,31.015,8.019,14.836,0.073,NaN,1.692,NaN,0.02,9.937e5,2102.08,0.007,0.511,0.022,0.388,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.36e-5,0.131,0.013,90,0,6.872,33.904,867.367,351.845,0.01,0.088
0.08,0.202,2.598,6.978,2.598,6.978,0,0,0,0,0,0,34,-107,0.999,69.278,0,0,0,31.008,8.012,14.834,0.073,NaN,1.691,NaN,0.021,1.023e6,2425.477,0.017,0.509,0.048,0.386,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.203e-5,0.131,0.013,90,0,6.867,33.904,867.365,351.845,0.01,0.093
0.09,0.3,3.354,7.712,3.354,7.712,0,0,0,0,0,0,34,-107,0.999,63.955,0,0,0,30.997,8.001,14.828,0.073,NaN,1.691,NaN,0.022,1.064e6,2647.848,0.034,0.506,0.088,0.383,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.135e-5,0.131,0.013,90,0,6.863,33.904,867.363,351.845,0.01,0.1
0.1,0.423,4.115,7.762,4.115,7.762,0,0,0,0,0,0,34,-107,0.999,59.038,0,0,0,30.983,7.987,14.822,0.073,NaN,1.691,NaN,0.023,1.114e6,2661.853,0.058,0.502,0.136,0.38,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.074e-5,0.131,0.013,90,0,6.859,33.904,867.361,351.844,0.01,0.107
0.11,0.57,4.879,7.791,4.879,7.791,0,0,0,0,0,0,34,-107,0.999,54.58,0,0,0,30.97,7.974,14.816,0.073,NaN,1.691,NaN,0.024,1.173e6,2669.543,0.088,0.499,0.188,0.376,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.015e-5,0.131,0.013,90,0,6.86,33.903,867.359,351.844,0.01,0.115
0.12,0.743,5.646,7.82,5.646,7.82,0,0,0,0,0,0,34,-107,0.999,50.553,0,0,0,30.957,7.961,14.81,0.073,NaN,1.69,NaN,0.025,1.238e6,2677.233,0.126,0.495,0.241,0.372,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.961e-5,0.131,0.013,90,0,6.862,33.903,867.355,351.844,0.01,0.123
0.13,0.941,6.415,7.849,6.415,7.849,0,0,0,0,0,0,34,-107,0.999,46.931,0,0,0,30.944,7.948,14.805,0.073,NaN,1.69,NaN,0.027,1.309e6,2684.924,0.171,0.491,0.292,0.368,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.909e-5,0.131,0.013,90,0,6.863,33.903,867.352,351.844,0.01,0.13
0.14,1.164,7.187,7.878,7.187,7.878,0,0,0,0,0,0,34,-107,0.999,43.682,0,0,0,30.931,7.934,14.799,0.073,NaN,1.69,NaN,0.028,1.384e6,2692.614,0.221,0.487,0.339,0.364,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.862e-5,0.131,0.013,90,0,6.864,33.902,867.348,351.844,0.01,0.138
0.15,1.412,7.963,7.907,7.963,7.907,0,0,0,0,0,0,34,-107,0.999,40.768,0,0,0,30.917,7.921,14.793,0.072,NaN,1.69,NaN,0.03,1.465e6,2700.305,0.278,0.483,0.381,0.361,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.817e-5,0.131,0.013,90,0,6.865,33.902,867.343,351.843,0.01,0.142
